ABOO AVL Rojinegro
138372980 2102829 2052940
101142865 2125250 2077960
24817916 2194569 2108190
69818230 2199100 2103151
17327028 2097570 4026770
74893428 1654070 1810770
78923598 2080779 2170290
20585067 2235099 2105829
14014378 1439520 1675380
61464181 1688599 1429550
7785959 1669810 1884609
12091808 1711120 1502130
62626721 2159359 2195110
19870057 2031130 1783380
13267828 1657329 1924729
67906330 2099100 2115749
14147158 1582950 67110450
18787647 2263940 2184260
18128957 2008630 2043819
74734730 2206680 1976740
13280898 1918300 1774459
7574769 50700203 1909480
10144568 1579669 1515860
10639979 1700720 1661240
77708389 1591940 1635600
9719299 2046789 1628640
8197449 1545350 1616830
75027819 2134269 2072960
12788488 1538600 1438520
74483268 1693820 2005800
12179888 1574760 1575550
9682108 1818930 1735280
72132380 2180680 2141820
12993508 2079119 2198280
13338108 2201060 2208329
68412220 2122330 2240609
15946597 1786240 1632590
70244090 2068000 1668950
11963918 1712860 1427599
7509528 1472190 1446200
66276610 1681439 1470809
11507479 1558290 1803639
7920508 1556780 1423160
7404929 1606139 1568360
60249421 1369490 1399150
7344179 1493929 1596309
8559859 1578290 1718960
7510468 1462530 1372400
64793890 1715350 1632320
8883749 1996049 1712880
11190828 1825540 2084000
75253909 1845959 1487610
9042709 1949849 1422790
8742689 2234060 1563299
65250270 2139019 2169140
15456018 2197660 2171249
12496759 54767942 1671550
16492928 1774660 1912310
9582198 1376309 1410250
7047779 1766800 1373059
67266670 1437640 1487509
10190359 2047459 2013770
12863589 1570310 1567080
62510201 1540190 1536320
7337869 1455000 1869559
7071779 1446170 1415530
6687659 1658540 1411639
63445481 1923440 1434280
9244848 1578330 1652440
7558559 1491490 1743779
13117828 2157910 2013850
67260160 2177839 2223620
12179668 2191540 2240289
71415400 2516640 2194570
19640096 2281990 2265670
68734030 2192609 2178330
13585308 2195670 2171259
12355568 2495780 2188529
20201037 2261030 2223059
18904478 1752659 1959340
69793740 1808169 1769470
12368628 2293650 1908110
68300840 2767389 2282980
13019978 2540180 2628879
11430508 2366350 2163470
65066810 2269880 2259300
16610108 2190010 2407359
75150909 2418870 2341909
20370158 2301810 2248890
74937399 2289639 2276810
80554828 2503659 2161280
20305457 2201980 2202080
82676688 2264309 2345020
22978827 59254850 2295330
18911157 2283879 2179770
11802528 2152180 58977761
33438875 2190859 1973010
74311929 2117560 1873300
10565858 2149420 1879810
19841686 50779603 1883489
23280487 2168229 1808170
17219007 53421983 1915639
24183737 2015410 1897969
19103457 50864983 1827359
22321067 1823930 1774790
73769699 1744680 1885969
15364548 1628760 1769970
7853019 1465090 1411930
7088508 1420579 1408700
53623253 1463700 1416260
11521988 1616920 1368850
6946369 1520220 1370239
6985558 1816280 1455860
6329029 1382060 54323292
23709796 2182750 2083710
14834157 2083879 2012879
67746861 2096119 2002240
11924778 2112790 2091360
67883499 2295260 1953990
20945757 1921390 1946450
16895168 54479342 1941470
17669188 2025789 1969320
15848218 2004410 1971700
62542741 2033610 1981819
14854028 2104260 1970080
75649479 2099080 2016080
13987568 2038870 1999390
12433808 1983090 55045962
26784016 2005020 1941921
23251546 54128972 1866650
20329077 1642530 1405630
11812018 1945040 1775449
67068690 1493290 1982719
12215069 1573409 1488249
10492339 4964019 1781229
56184401 1581330 1763360
10918678 1644260 1526820
8455878 1626680 1350040
7070049 2346929 1502520
72495709 2103380 2103290
11196748 2146760 2131960
